"date","new_users","weekly_active_users","monthly_active_users","avg_daily_active_users","completed_projects","revenue","weekly_paying_users","conversion_rate","avg_spent","completed_projects_per_user","collects_per_user","new_projects_per_user","n_retention_1","n_retention_3","n_retention_7","n_retention_30","unbounded_retention_1","unbounded_retention_3","unbounded_retention_7","unbounded_retention_30","stickiness"
2016-08-17,28391,158133,451479,33017.43,324145,8128,3121,1.97,2.6,2.05,0.71,4.04,8.6,5.91,4.07,1.69,30.8,25.5,19.7,14,7.31
2016-08-12,29312,156388,450488,34224.14,321582,8626,3069,1.96,2.81,2.06,0.77,4.09,10.2,5.28,4.12,2.28,30.3,25,19,14.4,7.6
