"date","new_users","weekly_active_users","monthly_active_users","avg_daily_active_users","completed_projects","revenue","weekly_paying_users","conversion_rate","avg_spent","completed_projects_per_user","collects_per_user","new_projects_per_user","n_retention_1","n_retention_3","n_retention_7","n_retention_30","unbounded_retention_1","unbounded_retention_3","unbounded_retention_7","unbounded_retention_30","stickiness"
"2016-08-15",28594,158133,451479,33057,322722,8161,3121,1.97,2.61,2.04,0.71,4.02,8.72,5.26,3.8,1.94,30.5,25.1,19.3,14,7.32
"2016-08-12",29312,156388,450488,34224.14,321582,8626,3069,1.96,2.81,2.06,0.77,4.09,10.2,5.28,4.12,2.28,30.3,25,19,14.4,7.6
